This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and the codes and labels of one or more langauages in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
"HEB, LAT",heb(Hebrew),lat(Latin),,y,,,,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_47582,,,,,,,,,
Hebrew German English,heb(Hebrew),deu(German),eng(English),y,,,,http://data.europeana.eu/item/09210/EUS_6ED382D74E494594A2FAD73CB5B25683,,,,,,,,,
Hungarian Dutch; Flemish,hun(Hungarian),nld(Dutch),vls(Flemish),y,,,,http://data.europeana.eu/item/09218/EUS_46D44416ACD94517ABA843E6B8C73444,,,,,,,,,
Hungarian English,hun(Hungarian),eng(English),,y,,,,http://data.europeana.eu/item/09218/EUS_0DB21516C58F4E7EAC9D5A9085C7BEBF,http://data.europeana.eu/item/09218/EUS_33E43EF5C6F2416AB45A74953DF215E6,http://data.europeana.eu/item/09218/EUS_4519A92936494223A13EE9488FB12E5D,http://data.europeana.eu/item/09218/EUS_61DA19FBF17B44DD9F309B55FA3275AD,http://data.europeana.eu/item/09218/EUS_7F0BAED17A6346379022BFA0B63B61BD,http://data.europeana.eu/item/09218/EUS_971B8C98C6AC48FB9F425EC0E19D0143,http://data.europeana.eu/item/09218/EUS_D390F1EE7247482BB58E49E06728536C,http://data.europeana.eu/item/09218/EUS_FE46904838174B83A45A6C7F68387F66,,
Hungarian French,hun(Hungarian),fra(French),,y,,,,http://data.europeana.eu/item/09218/EUS_1CD1ED4864C842EA8568E8AF5D39A7DA,,,,,,,,,
Hungarian German,hun(Hungarian),deu(German),,y,,,,http://data.europeana.eu/item/09218/EUS_1AB22F407ED94384829BEB74368205A8,http://data.europeana.eu/item/09218/EUS_2D093A8538BB47CB8FFDD49954193B19,http://data.europeana.eu/item/09218/EUS_4F46FCB72C354B6C9CD0F87B4BDB8F1A,http://data.europeana.eu/item/09218/EUS_D994DF2415D245F5A2E99AD04E68E742,,,,,,
Hungarian Romanian,hun(Hungarian),ron(Romanian),,y,,,,http://data.europeana.eu/item/09218/EUS_009FAC70971A442D880CAE6A73ABB9CC,http://data.europeana.eu/item/09218/EUS_C907B8F2B55F47A09F52CFBC951B5F6D,,,,,,,,
Hungarian Romanian German,hun(Hungarian),ron(Romanian),deu(German),y,,,,http://data.europeana.eu/item/09218/EUS_2415B556BE9147F489490FCFF06172B0,http://data.europeana.eu/item/09218/EUS_4A6926BCAB394F208CE26F4EBB8F23B0,http://data.europeana.eu/item/09218/EUS_7A66C19DBFDF40D791D9EEA9D0059363,http://data.europeana.eu/item/09218/EUS_B1DA1BE03BAD420C8031582EBB6DC686,http://data.europeana.eu/item/09218/EUS_EFBDBA7D7DB04EBEA3A1EC507A49D3DC,http://data.europeana.eu/item/09218/EUS_D484F8E327874D44B58FAD014EFC53FB,,,,
Hungarian Russian,hun(Hungarian),rus(Russian),,y,,,,http://data.europeana.eu/item/09218/EUS_066147E0F6E147ECA8715419282C553C,http://data.europeana.eu/item/09218/EUS_D86B784F6C6D4984AA3B8B5710B2DB4C,,,,,,,,
"Hungarian, English",hun(Hungarian),eng(English),,y,,,,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6134,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6211,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6213,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6223,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6228,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6229,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6221,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6224,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6217,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6218
"Hungarian, French",hun(Hungarian),fra(French),,y,,,,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6226,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6227,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6298,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6450,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6464,,,,,
