This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and a non-ambigouos language label in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
Arabic,ara(Arabic),,,y,,,,http://data.europeana.eu/item/9200226/004430626,http://data.europeana.eu/item/9200226/004430625,http://data.europeana.eu/item/09211/EUS_D67F2374B1E14645B41151F86DB14885,http://data.europeana.eu/item/2022333/4C953E2B4A1FCA11561543874D88552382AC3272,http://data.europeana.eu/item/9200120/zbz_action_search_do_vid_ZAD_fn_search_vl_28freeText0_29_ebi01_prod005402067,http://data.europeana.eu/item/9200120/zbz_action_search_do_vid_ZAD_fn_search_vl_28freeText0_29_ebi01_prod005402337,http://data.europeana.eu/item/9200120/zbz_action_search_do_vid_ZAD_fn_search_vl_28freeText0_29_ebi01_prod005402363,http://data.europeana.eu/item/9200120/zbz_action_search_do_vid_ZAD_fn_search_vl_28freeText0_29_ebi01_prod005402370,http://data.europeana.eu/item/9200120/zbz_action_search_do_vid_ZAD_fn_search_vl_28freeText0_29_ebi01_prod005402392,http://data.europeana.eu/item/9200120/zbz_action_search_do_vid_ZAD_fn_search_vl_28freeText0_29_ebi01_prod005402418
Arabisch,ara(Arabic),,,y,,,,http://data.europeana.eu/item/2032014/027859daacfb5026bce3ca08b21ffc3f,http://data.europeana.eu/item/2032014/17874afc7eb9775f37ed8e0f04ad0e00,http://data.europeana.eu/item/2032014/18d1ca0a099439f97373bded4726bd3c,http://data.europeana.eu/item/2032014/3558e7a2b52198a3d6318c56cf004b8b,http://data.europeana.eu/item/2032014/3ba9ebf81572a2c57e2e8bfeafb66a22,http://data.europeana.eu/item/2032014/628d176cb478e3b207dd90b3ba039f24,http://data.europeana.eu/item/2032014/69ab283f9bb253555ec7f0d1e19f2c54,http://data.europeana.eu/item/2032014/7443c2ce1ded707befbda06ad05e2926,http://data.europeana.eu/item/2032014/84401b773e03671f20c2d54a63b7ae39,http://data.europeana.eu/item/2032014/9f6dd0ae81b639eff655d40f9467cd43
Arapça,ara(Arabic),,,y,,,,http://data.europeana.eu/item/2021201/6E1251598E804759335264D5AB2BE7E73116028E,http://data.europeana.eu/item/2021201/6411F2B16D353AC817A75A14E1A4570DAC4AD6AE,http://data.europeana.eu/item/2021201/15D5D35F8A20D6DEBD3C9E4F0BD6BE0A8010AEF9,http://data.europeana.eu/item/2021201/1E79AD1C14B7584F4E0B4A1951FC7AF456B6F2A4,http://data.europeana.eu/item/2021201/FC7A2863DAD0D830098BBD1F5141AF3D53B5233C,http://data.europeana.eu/item/2021201/171D8EEB152205E248601E30A20B9107CC8CC2C6,http://data.europeana.eu/item/2021201/5FB3502C62D690B8ABDCC547EE865BDCAF8E8FE7,http://data.europeana.eu/item/2021201/8CFDCC20C457E20D79E384FD3369DF4D2CE71F60,http://data.europeana.eu/item/2021201/E45F8CB9212352EB821C608E941EFB4A0CD55121,http://data.europeana.eu/item/2021201/C54701D44E509B72763DEF28E8AD8C503C392E50
Armenian,hye(Armenian),,,y,,,,http://data.europeana.eu/item/9200226/002988872,http://data.europeana.eu/item/2020601/contributions_4520,http://data.europeana.eu/item/2059208/archives_items_37606_,http://data.europeana.eu/item/2059208/archives_items_37607_,http://data.europeana.eu/item/2059208/archives_items_51693_,http://data.europeana.eu/item/2059208/archives_items_51694_,http://data.europeana.eu/item/9200211/en_list_one_fmb_cb_0034,http://data.europeana.eu/item/9200211/en_list_one_utp_0003,http://data.europeana.eu/item/9200211/en_list_one_utp_0004,
Arménien,hye(Armenian),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_37606_,http://data.europeana.eu/item/2059208/archives_items_37607_,http://data.europeana.eu/item/2059208/archives_items_51693_,http://data.europeana.eu/item/2059208/archives_items_51694_,,,,,,
Assamese,asm(Assamese),,,y,,,,http://data.europeana.eu/item/2059205/data_sounds_TheTraditionalSongsAndPoetryOfUpperAssam,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_000D_FB10_B,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_000D_FB12_7,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_000D_FB0F_6,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_000D_FB11_C,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_000D_FB13_1,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_000D_FB14_5,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_000D_FB15_3,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_000D_FB16_6,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_000D_FB19_D
Avaric,ava(Avaric),,,y,,,,http://data.europeana.eu/item/09210/EUS_BA56A41583A440BA8469C9B31E75E39E,,,,,,,,,
Azerbaijani,aze(Azerbaijani),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_51690_,http://data.europeana.eu/item/2059208/archives_items_51689_,http://data.europeana.eu/item/2059208/archives_items_51691_,,,,,,,
Azeri,aze(Azerbaijani),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_39490_,http://data.europeana.eu/item/2059208/archives_items_39491_,http://data.europeana.eu/item/2059208/archives_items_39492_,http://data.europeana.eu/item/2059208/archives_items_39495_,http://data.europeana.eu/item/2059208/archives_items_39496_,http://data.europeana.eu/item/2059208/archives_items_39498_,,,,
Azéri,aze(Azerbaijani),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_51690_,http://data.europeana.eu/item/2059208/archives_items_51689_,http://data.europeana.eu/item/2059208/archives_items_51691_,,,,,,,
