This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and a non-ambigouos language label in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
Urdu,urd(Urdu),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_38552_,http://data.europeana.eu/item/2059208/archives_items_39298_,http://data.europeana.eu/item/2059208/archives_items_39299_,http://data.europeana.eu/item/2059208/archives_items_39302_,http://data.europeana.eu/item/2059209/data_sounds_CEAP190X1001_063Z,http://data.europeana.eu/item/2059209/data_sounds_CEAP190X1001_064Z,http://data.europeana.eu/item/2059209/data_sounds_CEAP190X1101_009Z,http://data.europeana.eu/item/2059209/data_sounds_CEAP190X1101_010Z,http://data.europeana.eu/item/2059209/data_sounds_CEAP190X1101_016Z,http://data.europeana.eu/item/2059209/data_sounds_CEAP190X1101_015Z
Vietnamese,vie(Vietnamese),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_37260_,http://data.europeana.eu/item/2059208/archives_items_37261_,http://data.europeana.eu/item/2059208/archives_items_37262_,http://data.europeana.eu/item/2059208/archives_items_37264_,http://data.europeana.eu/item/2059208/archives_items_37265_,http://data.europeana.eu/item/2059208/archives_items_37580_,http://data.europeana.eu/item/2059208/archives_items_37578_,http://data.europeana.eu/item/2059208/archives_items_37576_,http://data.europeana.eu/item/2059208/archives_items_37579_,http://data.europeana.eu/item/2059208/archives_items_37581_
Vietnamien,vie(Vietnamese),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_19439_,http://data.europeana.eu/item/2059208/archives_items_28819_,http://data.europeana.eu/item/2059208/archives_items_28820_,http://data.europeana.eu/item/2059208/archives_items_28821_,http://data.europeana.eu/item/2059208/archives_items_28822_,http://data.europeana.eu/item/2059208/archives_items_28823_,http://data.europeana.eu/item/2059208/archives_items_28825_,http://data.europeana.eu/item/2059208/archives_items_28824_,http://data.europeana.eu/item/2059208/archives_items_28826_,http://data.europeana.eu/item/2059208/archives_items_28827_
Vilela,vil(Vilela),,,y,,,,http://data.europeana.eu/item/2059205/data_sounds_ChacoLanguages,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0007_E932_3,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0007_E92C_3,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0007_E92F_3,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0007_E921_E,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0007_E93A_3,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0007_E948_3,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0007_E944_A,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0007_E94B_3,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0007_E959_3
Wamey,cou(Wamey),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_17666_,http://data.europeana.eu/item/2059209/data_sounds_C1583X4X048X_0001,http://data.europeana.eu/item/2059209/data_sounds_C1583X4X048X_0002,http://data.europeana.eu/item/2059209/data_sounds_C1583X4X048X_0003,http://data.europeana.eu/item/2059209/data_sounds_C1583X4X048X_0004,http://data.europeana.eu/item/2059209/data_sounds_C1583X4X077X_0003,http://data.europeana.eu/item/2059209/data_sounds_C1583X4X102X_0001,http://data.europeana.eu/item/2059209/data_sounds_C1583X4X102X_0003,http://data.europeana.eu/item/2059209/data_sounds_C1583X4X102X_0002,http://data.europeana.eu/item/2059209/data_sounds_C1583X4X102X_0005
Waura,wau(Waurá),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_35570_,,,,,,,,,
Waurá,wau(Waurá),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_25959_,http://data.europeana.eu/item/2059208/archives_items_35569_,http://data.europeana.eu/item/2059208/archives_items_35570_,http://data.europeana.eu/item/2059208/archives_items_35571_,http://data.europeana.eu/item/2059208/archives_items_35572_,http://data.europeana.eu/item/2059208/archives_items_35576_,http://data.europeana.eu/item/2059208/archives_items_35573_,http://data.europeana.eu/item/2059208/archives_items_35574_,http://data.europeana.eu/item/2059208/archives_items_35575_,http://data.europeana.eu/item/2059208/archives_items_35577_
Wayampi,oym(Wayampi),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_10686_,http://data.europeana.eu/item/2059208/archives_items_52691_,http://data.europeana.eu/item/2059208/archives_items_52721_,http://data.europeana.eu/item/2059208/archives_items_52720_,http://data.europeana.eu/item/2059208/archives_items_52722_,http://data.europeana.eu/item/2059208/archives_items_52724_,http://data.europeana.eu/item/2059208/archives_items_52723_,http://data.europeana.eu/item/2059208/archives_items_52725_,http://data.europeana.eu/item/2059208/archives_items_52726_,http://data.europeana.eu/item/2059208/archives_items_52728_
Welsh,cym(Welsh),,,y,,,,http://data.europeana.eu/item/2022333/018EF58707DDA7CEE0481898ABA3FBE33918F626,http://data.europeana.eu/item/2022333/22FDC6A7F0A7065D31B69DD38E278F8F9C150713,http://data.europeana.eu/item/2022333/28A36BCA6ED36B6E946302379948A215422DD181,http://data.europeana.eu/item/2022333/3D8B6CF33FAB5B7A0AEB02F130AF91C469672BF4,http://data.europeana.eu/item/2022333/425C173D74A52876B93244A407A14782D6DDC454,http://data.europeana.eu/item/2022333/442D39635D495637F61A0D7D06536A7EE882D2D0,http://data.europeana.eu/item/2022333/5D0B213339CC779C6CA0082765A6C490462AD6B9,http://data.europeana.eu/item/2022333/6EEC914D0518F03B6E48CB804B84B73F3B8C0067,http://data.europeana.eu/item/2022333/895B87BF3C8831697E8E780EC74B9A3D3D8AFEF7,http://data.europeana.eu/item/2022333/C0FF437B636F8FE54AD991F22C52F8E4EF1BE78D
Wichí,mtp(Weenhayek),,,y,,,,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0007_EAD6_4,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0007_EAAC_2,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_000A_884B_B,,,,,,,
