This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and the codes and labels of one or more langauages in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
Swedish Finnish,swe(Swedish),fin(Finnish),,y,,,,http://data.europeana.eu/item/09210/EUS_2832E240C1D1465EBF5F4D3D9E1658BF,http://data.europeana.eu/item/09210/EUS_4458947612914D18AE0411A2608CFAFA,http://data.europeana.eu/item/09210/EUS_5D99B6E7D45442B386D81CAD171FF417,http://data.europeana.eu/item/09210/EUS_A1E3A29FD5854AFB9E21A1FD1B2F6A98,,,,,,
Swedish French,swe(Swedish),fra(French),,y,,,,http://data.europeana.eu/item/09210/EUS_209535E2FB16435FA2790E3DF9F0BF9D,http://data.europeana.eu/item/09210/EUS_50EB872B11C64ED5A79E8464F1B7141C,http://data.europeana.eu/item/09210/EUS_4B92DEA0C6984676870BE64556C879D5,http://data.europeana.eu/item/09210/EUS_606FB1DE44744EB288BB3CB96F75DCEB,http://data.europeana.eu/item/09210/EUS_8F39F2F039AE4C52B95ACD057A71AF69,http://data.europeana.eu/item/09210/EUS_B2534AE61A524B429FD596A3198B6201,,,,
Swedish German,swe(Swedish),deu(German),,y,,,,http://data.europeana.eu/item/09210/EUS_780151BA6A63451BB36EFE4DA9CE2ACF,http://data.europeana.eu/item/09210/EUS_BE364A68EB174316BD2C9C144EE5F80C,,,,,,,,
Swedish German English,swe(Swedish),deu(German),eng(English),y,,,,http://data.europeana.eu/item/09210/EUS_81BCD179CFD34954848194F723991784,,,,,,,,,
Swedish Italian,swe(Swedish),ita(Italian),,y,,,,http://data.europeana.eu/item/09210/EUS_471AE8A5C7B248DCB8A82CD1BFDA33F0,http://data.europeana.eu/item/09210/EUS_EA98B724C0DA41EDB3FF22C23FDE28F2,,,,,,,,
Swedish Norwegian,swe(Swedish),nor(Norwegian),,y,,,,http://data.europeana.eu/item/09210/EUS_21E471EEA90A491084DDCB9EA7FDBEF7,http://data.europeana.eu/item/09210/EUS_63FAE882616846768F57104B8E3D5ACB,http://data.europeana.eu/item/09210/EUS_697332592866422B86B56EA1C2BED418,http://data.europeana.eu/item/09210/EUS_8222EB75DB264B26902B014E310EF4AA,http://data.europeana.eu/item/09210/EUS_82B4D8520E3144C38E84FE161FC8417D,http://data.europeana.eu/item/09210/EUS_9A83501C69B649C49E86FE584EE26849,http://data.europeana.eu/item/09210/EUS_8E73A5E196AC4F86A02B456B4CC6FF4F,http://data.europeana.eu/item/09210/EUS_A6ABC7B5F1354423A9EFA1FFDDBD12D6,http://data.europeana.eu/item/09210/EUS_E2C11400BA87486BA319B44791BFC289,http://data.europeana.eu/item/09210/EUS_F737B080A59B4A749C9A3357B72D7F56
Tamoul / Tamil,tam(Tamil),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_39242_,http://data.europeana.eu/item/2059208/archives_items_39241_,,,,,,,,
"Tibétain, Népali?",bod(Tibetan),nep(Nepali),,y,,,,http://data.europeana.eu/item/2059208/archives_items_4115_,,,,,,,,,
"Turkish, Τουρκικά",tur(Turkish),,,y,,,,http://data.europeana.eu/item/2020601/attachments_193881_17411_193881_original_193881_jpg,http://data.europeana.eu/item/2020601/attachments_193956_17411_193956_original_193956_jpg,http://data.europeana.eu/item/2020601/attachments_194125_17411_194125_original_194125_jpg,,,,,,,
Türkçe-Arapça,tur(Turkish),ara(Arabic),,y,,,,http://data.europeana.eu/item/2021201/9F3AD2C7164FBBEDD60031DA8B5C0ADF3E61F175,http://data.europeana.eu/item/2021201/1E536F011566EBA2FA3946FDD5A343A71C0D3454,http://data.europeana.eu/item/2021201/5F4D170C58BB48A6DFE0BBC4C288F4C888AC0674,http://data.europeana.eu/item/2021201/E4148F55899FA6E3D40909D54321493E5491C5EC,http://data.europeana.eu/item/2021201/E548812692B4A899067F6706DBC7E957735AE44E,http://data.europeana.eu/item/2021201/C861B19D7C0FC5783BCDA98BE544FED7C5364C53,http://data.europeana.eu/item/2021201/33AD098B7BBC99A541EAFE8AFD59EE145A1159DE,http://data.europeana.eu/item/2021201/7350856B0C53654C7CE41B23E9929B542C1990E8,http://data.europeana.eu/item/2021201/4526852A3A2555B4FCEBEBF8CB6FFC0E27BA44AD,http://data.europeana.eu/item/2021201/4C2A02E31B8DEA179DA17D7A3F753623C7B8A56E
