This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and the codes and labels of one or more langauages in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
fr ; de,fra(French),deu(German),,y,,,,http://data.europeana.eu/item/08627/14_18A573,,,,,,,,,
fr ; en,fra(French),eng(English),,y,,,,http://data.europeana.eu/item/08627/14_18A422,http://data.europeana.eu/item/08627/14_18A72,,,,,,,,
fr en,fra(French),eng(English),,y,,,,http://data.europeana.eu/item/2048076/F__func_find_b_find_code_SYS_request_000058948,http://data.europeana.eu/item/2048076/F__func_find_b_find_code_SYS_request_000058780,,,,,,,,
fr he,fra(French),heb(Hebrew),,y,,,,http://data.europeana.eu/item/2048076/F__func_find_b_find_code_SYS_request_000007282,http://data.europeana.eu/item/2048076/F__func_find_b_find_code_SYS_request_000059680,http://data.europeana.eu/item/2048076/F__func_find_b_find_code_SYS_request_000059994,http://data.europeana.eu/item/2048076/F__func_find_b_find_code_SYS_request_000079659,,,,,,
fr it,fra(French),ita(Italian),,y,,,,http://data.europeana.eu/item/2048076/F__func_find_b_find_code_SYS_request_000080813,,,,,,,,,
fr la,fra(French),lat(Latin),,y,,,,http://data.europeana.eu/item/08001/Consult_index_asp_numfiche_479,,,,,,,,,
fra  ita,fra(French),ita(Italian),,y,,,,http://data.europeana.eu/item/2022114/urn_axmedis_00000_obj_a6b68596_3c3f_4fac_98c7_433b3c9af805,,,,,,,,,
fra;,fra(French),,,y,,,,http://data.europeana.eu/item/919117/u__ProgOC_625,http://data.europeana.eu/item/919117/u__ProgOC_980,http://data.europeana.eu/item/919117/u__ProgOC_351,,,,,,,
fra; lat,fra(French),lat(Latin),,y,,,,http://data.europeana.eu/item/919114/u__PMautors_3503,,,,,,,,,
fra;spa,fra(French),spa(Spanish),,y,,,,http://data.europeana.eu/item/9200235/bitstream_handle_10016_17855_antitriboniano_hotman_2014_reim_pdf_sequence_5,,,,,,,,,
