This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and a non-ambigouos language label in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
Norwegian,nor(Norwegian),,,y,,,,http://data.europeana.eu/item/08701/CEE34D57BE1F46E6A8600ECC855FE0123BB66A78,http://data.europeana.eu/item/08701/37157332C8DBA86BCE7C0AB449EB32E39FD3893B,http://data.europeana.eu/item/08701/D169C5DF2A14730F9B187F5E3349467EB350B197,http://data.europeana.eu/item/08701/4203F6E62B61B366492F4171F7D476411D8B1C77,http://data.europeana.eu/item/08701/26F04EFC8C4134178A9FF0063F4742152FC3BBA8,http://data.europeana.eu/item/08701/B9374EC66F85E248303F595BCC1BF0960550F908,http://data.europeana.eu/item/08701/899EEB43767C683F84EB4FB3654ECEF8128F9C27,http://data.europeana.eu/item/08701/79C35D96E279437FD242A43AA7C0B5B0135A4EC2,http://data.europeana.eu/item/08701/194411FFF56ABBA25B828B677199EEBADD0AF6A6,http://data.europeana.eu/item/08701/CC929B1A9D87127F55F4B8AA193625F1AD161594
Nzakara,nzk(Nzakara),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_42936_,http://data.europeana.eu/item/2059208/archives_items_42937_,http://data.europeana.eu/item/2059208/archives_items_42938_,http://data.europeana.eu/item/2059208/archives_items_42940_,http://data.europeana.eu/item/2059208/archives_items_42939_,http://data.europeana.eu/item/2059208/archives_items_42942_,http://data.europeana.eu/item/2059208/archives_items_42941_,http://data.europeana.eu/item/2059208/archives_items_42943_,http://data.europeana.eu/item/2059208/archives_items_42944_,http://data.europeana.eu/item/2059208/archives_items_42945_
Népali,nep(Nepali),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_28578_,http://data.europeana.eu/item/2059208/archives_items_28579_,http://data.europeana.eu/item/2059208/archives_items_28581_,http://data.europeana.eu/item/2059208/archives_items_28580_,http://data.europeana.eu/item/2059208/archives_items_4089_,http://data.europeana.eu/item/2059208/archives_items_4090_,http://data.europeana.eu/item/2059208/archives_items_4091_,http://data.europeana.eu/item/2059208/archives_items_4092_,http://data.europeana.eu/item/2059208/archives_items_4116_,http://data.europeana.eu/item/2059208/archives_items_4117_
Ocaina,oca(Ocaina),,,y,,,,http://data.europeana.eu/item/2059205/data_sounds_,http://data.europeana.eu/item/2059205/data_sounds_CenterPeople,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0008_6854_2,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0008_6855_6,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0008_6863_6,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0008_6856_2,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0008_6864_2,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_0008_6865_0,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_000D_5CF2_5,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_000D_5CF1_A
Occitan,oci(Occitan),,,y,,,,http://data.europeana.eu/item/2020601/attachments_169149_15913_169149_original_169149_pdf,http://data.europeana.eu/item/9200211/en_list_one_bge_le0206,,,,,,,,
Oekraïens,ukr(Ukrainian),,,y,,,,http://data.europeana.eu/item/2032014/affa1a847a8b5eed9f13c0d628565923,,,,,,,,,
Ojibwa,oji(Ojibwa),,,y,,,,http://data.europeana.eu/item/08701/9F744B53C0900E5AF5166436C919D8568C84D314,http://data.europeana.eu/item/08701/AAF7FDB342A7AC9F5EADAD7FAB745742A06E0A8C,,,,,,,,
Ossetian,oss(Ossetic),,,?,,,,http://data.europeana.eu/item/2059208/archives_items_51695_,http://data.europeana.eu/item/2059208/archives_items_51696_,,,,,,,,
Ossète,oss(Ossetic),,,?,,,,http://data.europeana.eu/item/2059208/archives_items_51695_,http://data.europeana.eu/item/2059208/archives_items_51696_,,,,,,,,
Palikúr,plu(Palikúr),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_2976_,http://data.europeana.eu/item/2059208/archives_items_3115_,http://data.europeana.eu/item/2059208/archives_items_3116_,http://data.europeana.eu/item/2059208/archives_items_3245_,http://data.europeana.eu/item/2059208/archives_items_3246_,http://data.europeana.eu/item/2059208/archives_items_3247_,http://data.europeana.eu/item/2059208/archives_items_3251_,http://data.europeana.eu/item/2059208/archives_items_3254_,http://data.europeana.eu/item/2059208/archives_items_3253_,http://data.europeana.eu/item/2059208/archives_items_3255_
