This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and the codes and labels of one or more langauages in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
"CAT, SPA",spa(Spanish),cat(Catalan),,y,,,,http://data.europeana.eu/item/2048008/Athena_Plus_ProvidedCHO_Ajuntament_de_Girona_0043_1931_02_12_001,http://data.europeana.eu/item/2048008/Athena_Plus_ProvidedCHO_Ajuntament_de_Girona_0043_1931_02_07_001,http://data.europeana.eu/item/2048008/Athena_Plus_ProvidedCHO_Ajuntament_de_Girona_0043_1931_02_11_001,http://data.europeana.eu/item/2048008/Athena_Plus_ProvidedCHO_Ajuntament_de_Girona_0043_1931_02_04_001,http://data.europeana.eu/item/2048008/Athena_Plus_ProvidedCHO_Ajuntament_de_Girona_0043_1931_01_31_001,http://data.europeana.eu/item/2048008/Athena_Plus_ProvidedCHO_Ajuntament_de_Girona_0043_1931_02_06_001,http://data.europeana.eu/item/2048008/Athena_Plus_ProvidedCHO_Ajuntament_de_Girona_0043_1931_02_05_001,http://data.europeana.eu/item/2048008/Athena_Plus_ProvidedCHO_Ajuntament_de_Girona_0043_1931_01_29_001,http://data.europeana.eu/item/2048008/Athena_Plus_ProvidedCHO_Ajuntament_de_Girona_0043_1931_01_30_001,http://data.europeana.eu/item/2048008/Athena_Plus_ProvidedCHO_Ajuntament_de_Girona_0043_1931_02_03_001
Cat ; spa,spa(Spanish),cat(Catalan),,y,,,,http://data.europeana.eu/item/91917/cgi_bin_thumbnail_exe_CISOROOT__arxiurs_CISOPTR_260,,,,,,,,,
Czech Arabic,ces(Czech),ara(Arabic),,y,,,,http://data.europeana.eu/item/09213/EUS_E26581F494B244E4B0E86F4003FE92BC,,,,,,,,,
Czech Chinese,ces(Czech),zho(Chinese),,y,,,,http://data.europeana.eu/item/09213/EUS_5C3D5DBD59A840E4B62772D60BB9BD15,,,,,,,,,
Czech Croatian,ces(Czech),hrv(Croatian),,y,,,,http://data.europeana.eu/item/09213/EUS_9ED36A21C92244B18A0C2560DC316C57,,,,,,,,,
Czech Dutch; Flemish,ces(Czech),nld(Dutch),vls(Flemish),y,,,,http://data.europeana.eu/item/09213/EUS_FE5D09193428459492D1338B344336CF,,,,,,,,,
Czech English,ces(Czech),eng(English),,y,,,,http://data.europeana.eu/item/09213/EUS_37BA130BF4C24D68881DA6638764F1ED,http://data.europeana.eu/item/09213/EUS_1361D5BDD44F403CAD7FD09F33332BB1,http://data.europeana.eu/item/09213/EUS_1ABBBEDF7C984E389695949DCECE9C1E,http://data.europeana.eu/item/09213/EUS_2A49EFE5FD1C426C8A3B0C22D4788970,http://data.europeana.eu/item/09213/EUS_2C88C576AC0F4578950115CFA45D7B60,http://data.europeana.eu/item/09213/EUS_72962EF5B0584C58A2989D4ADBCF6B61,http://data.europeana.eu/item/09213/EUS_79044529DB3145148AC7CDE75FCF6E94,http://data.europeana.eu/item/09213/EUS_50CDB7A416454177811902D2D881C5C4,http://data.europeana.eu/item/09213/EUS_6904254BAB6546EA8A08B61637F5F1C2,http://data.europeana.eu/item/09213/EUS_B7201472AC014563A5EB241E2866752C
Czech English German,ces(Czech),deu(German),eng(English),y,,,,http://data.europeana.eu/item/09213/EUS_7AE3D95967114E189BF89B76ABC99947,,,,,,,,,
Czech French,ces(Czech),fra(French),,y,,,,http://data.europeana.eu/item/09213/EUS_46F7827B9D324093A8A66DB00CF5A04B,http://data.europeana.eu/item/09213/EUS_0380C9372FB0416189B204BBBD58B61B,http://data.europeana.eu/item/09213/EUS_8BABA3C0E4CF4C19848E4F03CA30757F,http://data.europeana.eu/item/09213/EUS_FE0933870B6F4C328F19F9C0F4710823,,,,,,
Czech German,ces(Czech),deu(German),,y,,,,http://data.europeana.eu/item/09213/EUS_1EC450AE1646417BB1FFA6C9851388DE,http://data.europeana.eu/item/09213/EUS_587D0741407643C4A472E6750A188124,http://data.europeana.eu/item/09213/EUS_89E997BAE2214DD78D78031A14344AA7,http://data.europeana.eu/item/09213/EUS_C483232683A946A988BB65AC1C8999E1,http://data.europeana.eu/item/09213/EUS_B097B69C72874D59BE699808C6B0C780,,,,,
Czech Polish,ces(Czech),pol(Polish),,y,,,,http://data.europeana.eu/item/09213/EUS_4BBE9AD1BCE54A3BAE5551E21586C977,,,,,,,,,
Czech Russian,ces(Czech),rus(Russian),,y,,,,http://data.europeana.eu/item/09213/EUS_19CCAD2E50C941B1B0053672013E9796,http://data.europeana.eu/item/09213/EUS_6FE7E34F4F8B49D88F8E6D711AFEA268,,,,,,,,
